Terzo,"Third",m
Thorello,"Young bull",m
Timoteo,"To honor God",m
Tino,"Little, small",m
Tiziano,"Of the Titans",m
Tommaso,"Twin",m
Tonia,"Priceless",f
Tonio,"Priceless, invaluable",m
Tore,"Savior",m
Tàmmaro,"Thought",m
Ugo,"Heart",m
Ulderico,"Merciful ruler",m
Urbano,"Of the city",m
Valentino,"Healthy, strong",m
Valerio,"To be healthy; hale",m
Vanda,"A wend; a wanderer",f
Vanna,"God is gracious",f
Vanni,"God is gracious",m
Velia,"Concealed, healing",f
Venceslao,"More glory",m
Vicenzo,"Conquering",m
Vico,"Conqueror",m
Vincente,"Conquering",m
Vincenzo,"Conquering",m
Violetta,"Violet color",f
Virgilio,"Flourishing",m
Vitalia,"Of life; vital",f
Vito,"Life",m
Vittore,"Conqueror",m
Vittoria,"Conqueror",f
Vittorino,"Conqueror",m
Vittorio,"Conqueror",m
Xaviera,"A new home",f
Xaviero,"A new home",m
Zeta,"Little girl",f
Zita,"Little girl",f
