Johan,"God is gracious",m
Jonas,"Dove",m
Jucunda,"Happy",f
Judas,"Praised",m
Julian,"Descended from Jupiter",m
Julius,"Descended from Jupiter",m
Junia,"Vital force",f
Junius,"Sacred to Juno",m
Juno,"Vital force",f
Justina,"Fair, just",f
Juturna,"To help",f
Juventas,"Youth",f
Kaius,"Lord",m
Kanut,"Knot",m
Karena,"Keel of a ship",f
Karina,"Keel of a ship",f
Katherina,"Pure",f
Krista,"Believer",f
Ladislaus,"Rules with glory",m
Lauressa,"Laurel",f
Laurus,"Laurel",m
Lavinia,"Purity",f
Leander,"Lion-man",m
Leanora,"Foreign; the other",f
Lebbaeus,"Man of heart",m
Lelia,"Lunar",f
Lene,"Of Magdala",f
Leo,"Lion",m
Leonius,"Lion",m
Leontina,"Lion-like",f
Leontinus,"Lion-like",m
Leta,"The hidden one",f
Leucothea,"White goddess",f
Lexus,"Defender",u
Liber,"To be free or liberal",m
Liberius,"Free",m
Liboria,"Free",f
Linnaea,"Twin flower",f
Linus,"A cry of grief",m
Livia,"Bluish",f
Liviana,"Bluish",f
Livius,"Bluish",m
Lorena,"Little sorrowful one",f
Lorina,"Sorrowful",f
Louisa,"Famous warrior",f
Lucan,"Light",m
Lucas,"Light",m
Lucetta,"Little light",f
Lucia,"Light",f
Luciferus,"Dawn-bringer",m
Lucilla,"Light, bright",f
Lucina,"Grove",f
Lucretia,"Wealthy",f
Ludo,"Famous warrior",m
Lupa,"She-wolf",f
Lupus,"Wolf",m
Lycaon,"Wolf",m
Lysander,"Freer; liberator",m
Lysimachus,"Free battle",m
Lælia,"Lunar",f
Lælianus,"Lunar",m
Lætitia,"Happiness",f
Macarius,"Blessed",m
Macedon,"The tall one",m
Madrona,"Lady",f
Maea,"Nursing mother",f
Magnus,"Great",m
Manfredus,"Strong peace",m
Manius,"Morning",m
Marcellinus,"Defense",m
Marcius,"Defense",m
Mare,"Sea",f
Margarita,"Pearl",f
Marianus,"Like Marius",m
Marinus,"Of the sea",m
Marion,"Like Marius",m
Maris,"Of the sea",m
Mathildis,"Mighty in battle",f
Matrona,"Lady",f
Maxentius,"The greatest",m
Maxim,"The greatest rival",m
Maximilian,"The greatest rival",m
Maximillian,"The greatest",m
Medea,"Cunning",f
Medusa,"Guardian",f
Megaera,"Grudge",f
Melaena,"Black, dark",f
Meleager,"Pheasant",m
Melete,"Practice",f
Melitta,"Honey",f
Mercury,"Mercantile",m
Merlinus,"Sea fort",m
Minerva,"Intellect",f
Mirabella,"Wonderful",f
Mneme,"Memory",f
Naevius,"Spotted",m
Nemo,"Nobody",m
Neoptolemus,"New war",m
Nephele,"Cloud",f
Nereida,"Nymph, sea sprite",f
Nero,"Black",m
Nerva,"Strength",m
Nicator,"The conqueror",m
Nicephorus,"Victory-bearer",m
Nicholaa,"Victor of the people",f
